,_id,date_created,regular_price,sale_price,three_months,date_paid,customer_id,paid,name_x,category_id_y,product_ids,quantity,price,price_total,age_group,한의사 여부,사업자 여부,cancelled,name,slug
632,630dd0b768554000236da183,2022-08-23T06:07:15.330Z,49000.0,46600.0,227.0,2022-08-30 08:57:06.556000+00:00,5ea901751a3ca36b96784ead,True,영어 진료 가이드북 ,5cf8bbba0098b2225c5dfaa3,63046e9358e1680033a580d6,2.0,44100.0,88200.0,20-29,1.0,0.0,False,도서,book
633,630dd06768554000236da175,2022-08-23T06:07:15.330Z,49000.0,46600.0,227.0,2022-08-30 08:57:08.698000+00:00,607d1143c1908b001a63e9f6,True,영어 진료 가이드북 ,5cf8bbba0098b2225c5dfaa3,63046e9358e1680033a580d6,1.0,44100.0,44100.0,,1.0,1.0,False,도서,book
634,630dd07e68554000236da17c,2022-08-23T06:07:15.330Z,49000.0,46600.0,227.0,2022-08-30 08:57:41.123000+00:00,5fe2dce7fccb62001a21e6ec,True,영어 진료 가이드북 ,5cf8bbba0098b2225c5dfaa3,63046e9358e1680033a580d6,1.0,44100.0,44100.0,,1.0,0.0,False,도서,book
635,630dd10468554000236da192,2022-08-23T06:07:15.330Z,49000.0,46600.0,227.0,2022-08-30 08:58:10.889000+00:00,5df18aee4267e105dffef485,True,영어 진료 가이드북 ,5cf8bbba0098b2225c5dfaa3,63046e9358e1680033a580d6,1.0,44100.0,44100.0,30-39,1.0,1.0,False,도서,book
636,630dd0d568554000236da189,2022-08-23T06:07:15.330Z,49000.0,46600.0,227.0,2022-08-30 08:58:30.440000+00:00,5f6443f248060c52caf1403b,True,영어 진료 가이드북 ,5cf8bbba0098b2225c5dfaa3,63046e9358e1680033a580d6,1.0,44100.0,44100.0,40-49,1.0,1.0,False,도서,book
637,630dd10668554000236da194,2022-08-23T06:07:15.330Z,49000.0,46600.0,227.0,2022-08-30 08:58:53.277000+00:00,5e4f9ba14267e105dfff205c,True,영어 진료 가이드북 ,5cf8bbba0098b2225c5dfaa3,63046e9358e1680033a580d6,1.0,44100.0,44100.0,40-49,1.0,1.0,False,도서,book
638,630dd12c68554000236da19e,2022-08-23T06:07:15.330Z,49000.0,46600.0,227.0,2022-08-30 08:58:53.293000+00:00,5d9713880dabe405b156dd14,True,영어 진료 가이드북 ,5cf8bbba0098b2225c5dfaa3,63046e9358e1680033a580d6,1.0,44100.0,44100.0,30-39,1.0,1.0,False,도서,book
639,630dd07d68554000236da17a,2022-08-23T06:07:15.330Z,49000.0,46600.0,227.0,2022-08-30 08:59:00+00:00,60d1e72bd26af90681b19193,True,영어 진료 가이드북 ,5cf8bbba0098b2225c5dfaa3,63046e9358e1680033a580d6,1.0,44100.0,44100.0,,1.0,0.0,False,도서,book
640,630dd19b68554000236da1b2,2022-08-23T06:07:15.330Z,49000.0,46600.0,227.0,2022-08-30 09:00:46.097000+00:00,5f7d8c8748060c52caf1635e,True,영어 진료 가이드북 ,5cf8bbba0098b2225c5dfaa3,63046e9358e1680033a580d6,1.0,44100.0,44100.0,30-39,1.0,0.0,False,도서,book
641,630dd1b268554000236da1b8,2022-08-23T06:07:15.330Z,49000.0,46600.0,227.0,2022-08-30 09:01:06.207000+00:00,5d973c3b0dabe405b156dd66,True,영어 진료 가이드북 ,5cf8bbba0098b2225c5dfaa3,63046e9358e1680033a580d6,1.0,44100.0,44100.0,30-39,1.0,0.0,False,도서,book
642,630dd11568554000236da19b,2022-08-23T06:07:15.330Z,49000.0,46600.0,227.0,2022-08-30 09:02:08.016000+00:00,5db7eba90dabe405b156f824,True,영어 진료 가이드북 ,5cf8bbba0098b2225c5dfaa3,63046e9358e1680033a580d6,1.0,44100.0,44100.0,30-39,1.0,1.0,False,도서,book
643,630dd1f368554000236da1c3,2022-08-23T06:07:15.330Z,49000.0,46600.0,227.0,2022-08-30 09:02:25.063000+00:00,5ea773f91a3ca36b96784c66,True,영어 진료 가이드북 ,5cf8bbba0098b2225c5dfaa3,63046e9358e1680033a580d6,1.0,44100.0,44100.0,50-59,1.0,1.0,False,도서,book
644,630dd1fc68554000236da1c7,2022-08-23T06:07:15.330Z,49000.0,46600.0,227.0,2022-08-30 09:02:29.509000+00:00,5e94323fbfe426094478562d,True,영어 진료 가이드북 ,5cf8bbba0098b2225c5dfaa3,63046e9358e1680033a580d6,1.0,44100.0,44100.0,50-59,1.0,1.0,False,도서,book
645,630dd21d68554000236da1cc,2022-08-23T06:07:15.330Z,49000.0,46600.0,227.0,2022-08-30 09:03:38.296000+00:00,5fedaaa15ae455001b2198d6,True,영어 진료 가이드북 ,5cf8bbba0098b2225c5dfaa3,63046e9358e1680033a580d6,1.0,44100.0,44100.0,40-49,1.0,1.0,False,도서,book
646,630dd22468554000236da1cf,2022-08-23T06:07:15.330Z,49000.0,46600.0,227.0,2022-08-30 09:04:45.701000+00:00,5d968fff0dabe405b156d8b4,True,영어 진료 가이드북 ,5cf8bbba0098b2225c5dfaa3,63046e9358e1680033a580d6,1.0,44100.0,44100.0,40-49,1.0,0.0,False,도서,book
647,630dd2a068554000236da1dd,2022-08-23T06:07:15.330Z,49000.0,46600.0,227.0,2022-08-30 09:05:09.620000+00:00,5efef332221c8b5f77c8d7ff,True,영어 진료 가이드북 ,5cf8bbba0098b2225c5dfaa3,63046e9358e1680033a580d6,1.0,44100.0,44100.0,40-49,1.0,1.0,False,도서,book
648,630dd19468554000236da1b0,2022-08-23T06:07:15.330Z,49000.0,46600.0,227.0,2022-08-30 09:05:58+00:00,5d9704d60dabe405b156dcae,True,영어 진료 가이드북 ,5cf8bbba0098b2225c5dfaa3,63046e9358e1680033a580d6,1.0,44100.0,44100.0,50-59,1.0,0.0,False,도서,book
649,630dd2dc68554000236da1e6,2022-08-23T06:07:15.330Z,49000.0,46600.0,227.0,2022-08-30 09:06:06.556000+00:00,5d6f7b5419efa30eb2914111,True,영어 진료 가이드북 ,5cf8bbba0098b2225c5dfaa3,63046e9358e1680033a580d6,1.0,44100.0,44100.0,20-29,0.0,1.0,False,도서,book
650,630dd2eb68554000236da1e8,2022-08-23T06:07:15.330Z,49000.0,46600.0,227.0,2022-08-30 09:06:32.040000+00:00,62e8992da3d1d80023058c2c,True,영어 진료 가이드북 ,5cf8bbba0098b2225c5dfaa3,63046e9358e1680033a580d6,1.0,44100.0,44100.0,,1.0,1.0,False,도서,book
651,630dd31a68554000236da1f2,2022-08-23T06:07:15.330Z,49000.0,46600.0,227.0,2022-08-30 09:07:01.625000+00:00,5d64e80d4e77525ec5ca16e9,True,영어 진료 가이드북 ,5cf8bbba0098b2225c5dfaa3,63046e9358e1680033a580d6,1.0,44100.0,44100.0,30-39,1.0,1.0,False,도서,book
652,630dd19e68554000236da1b4,2022-08-23T06:07:15.330Z,49000.0,46600.0,227.0,2022-08-30 09:07:28+00:00,5da93fd20dabe405b156ec3e,True,영어 진료 가이드북 ,5cf8bbba0098b2225c5dfaa3,63046e9358e1680033a580d6,1.0,44100.0,44100.0,50-59,1.0,1.0,False,도서,book
653,630dd31468554000236da1ef,2022-08-23T06:07:15.330Z,49000.0,46600.0,227.0,2022-08-30 09:07:45.770000+00:00,5d60d7eb4e77525ec5ca1485,True,영어 진료 가이드북 ,5cf8bbba0098b2225c5dfaa3,63046e9358e1680033a580d6,1.0,44100.0,44100.0,50-59,1.0,1.0,False,도서,book
654,630dd17e68554000236da1ae,2022-08-23T06:07:15.330Z,49000.0,46600.0,227.0,2022-08-30 09:08:00+00:00,61250298d26af90681b20a77,True,영어 진료 가이드북 ,5cf8bbba0098b2225c5dfaa3,63046e9358e1680033a580d6,1.0,44100.0,44100.0,,1.0,1.0,False,도서,book
655,630dd34d68554000236da201,2022-08-23T06:07:15.330Z,49000.0,46600.0,227.0,2022-08-30 09:08:03.533000+00:00,5db63c290dabe405b156f63e,True,영어 진료 가이드북 ,5cf8bbba0098b2225c5dfaa3,63046e9358e1680033a580d6,1.0,44100.0,44100.0,40-49,1.0,1.0,False,도서,book
656,630dd39868554000236da211,2022-08-23T06:07:15.330Z,49000.0,46600.0,227.0,2022-08-30 09:09:19.908000+00:00,5ecf0269e510ee503167bf90,True,영어 진료 가이드북 ,5cf8bbba0098b2225c5dfaa3,63046e9358e1680033a580d6,1.0,44100.0,44100.0,40-49,1.0,1.0,False,도서,book
657,630dd37e68554000236da20f,2022-08-23T06:07:15.330Z,49000.0,46600.0,227.0,2022-08-30 09:11:12.870000+00:00,5d9d79d60dabe405b156e1ed,True,영어 진료 가이드북 ,5cf8bbba0098b2225c5dfaa3,63046e9358e1680033a580d6,1.0,44100.0,44100.0,30-39,1.0,0.0,False,도서,book
658,630dd3f868554000236da21a,2022-08-23T06:07:15.330Z,49000.0,46600.0,227.0,2022-08-30 09:11:43.317000+00:00,5de4e3874267e105dffeead8,True,영어 진료 가이드북 ,5cf8bbba0098b2225c5dfaa3,63046e9358e1680033a580d6,1.0,44100.0,44100.0,30-39,1.0,1.0,False,도서,book
659,630dd1ac68554000236da1b6,2022-08-23T06:07:15.330Z,49000.0,46600.0,227.0,2022-08-30 09:12:36.333000+00:00,5f0c56d5221c8b5f77c8e059,True,영어 진료 가이드북 ,5cf8bbba0098b2225c5dfaa3,63046e9358e1680033a580d6,1.0,44100.0,44100.0,20-29,0.0,0.0,False,도서,book
660,630dd49968554000236da22e,2022-08-23T06:07:15.330Z,49000.0,46600.0,227.0,2022-08-30 09:14:35.952000+00:00,5d9a89690dabe405b156df8f,True,영어 진료 가이드북 ,5cf8bbba0098b2225c5dfaa3,63046e9358e1680033a580d6,1.0,44100.0,44100.0,40-49,1.0,1.0,False,도서,book
661,630dd4dc68554000236da233,2022-08-23T06:07:15.330Z,49000.0,46600.0,227.0,2022-08-30 09:17:57.272000+00:00,5ddf1b2f2bb59605ca3d0a10,True,영어 진료 가이드북 ,5cf8bbba0098b2225c5dfaa3,63046e9358e1680033a580d6,1.0,44100.0,44100.0,20-29,0.0,0.0,False,도서,book
662,630dd58e68554000236da241,2022-08-23T06:07:15.330Z,49000.0,46600.0,227.0,2022-08-30 09:20:28.301000+00:00,5e65a04ebfe42609447831cd,True,영어 진료 가이드북 ,5cf8bbba0098b2225c5dfaa3,63046e9358e1680033a580d6,1.0,44100.0,44100.0,40-49,1.0,1.0,False,도서,book
